Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,25,1.75,0.15,0.4778034342411528
100% Corpus,25,1.75,0.2,0.4790290243642501
100% Corpus,25,1.75,0.5,0.46135781481191523
100% Corpus,25,1.75,0.7,0.4393489222007053
100% Corpus,25,1.75,0.9,0.4236679300959576
100% Corpus,25,1.75,1.5,0.41127959443139483
100% Corpus,25,1.75,auto,0.43095455973145325
100% Corpus,25,auto,0.15,0.4479999602324662
100% Corpus,25,auto,0.2,0.4552333729899084
100% Corpus,25,auto,0.5,0.46792365735507097
100% Corpus,25,auto,0.7,0.5075411424512408
100% Corpus,25,auto,0.9,0.4921588501751778
100% Corpus,25,auto,1.5,
100% Corpus,25,auto,auto,0.3786321735617574
100% Corpus,27,0.15,0.15,0.44765721201660835
100% Corpus,27,0.15,0.2,0.452315082265601
100% Corpus,27,0.15,0.5,0.4956569145398784
100% Corpus,27,0.15,0.7,0.5928703663896151
100% Corpus,27,0.15,0.9,0.5996096500754045
100% Corpus,27,0.15,1.5,0.6142917149996434
100% Corpus,27,0.15,auto,0.4312156012661158
100% Corpus,27,0.2,0.15,0.4468747448519415
100% Corpus,27,0.2,0.2,0.4555668414497109
100% Corpus,27,0.2,0.5,0.4772611263446669
100% Corpus,27,0.2,0.7,0.5382143455563347
100% Corpus,27,0.2,0.9,0.6074282916306349
100% Corpus,27,0.2,1.5,0.5879584615270801
100% Corpus,27,0.2,auto,0.42412817980996625
100% Corpus,27,0.5,0.15,0.47539979058286164
100% Corpus,27,0.5,0.2,0.4777780113709738
100% Corpus,27,0.5,0.5,0.49082741820772674
100% Corpus,27,0.5,0.7,0.46338432167860194
100% Corpus,27,0.5,0.9,0.578768872099484
100% Corpus,27,0.5,1.5,0.6608445627003598
100% Corpus,27,0.5,auto,0.4413120766841366
100% Corpus,27,0.6,0.15,0.5131217803047777
100% Corpus,27,0.6,0.2,0.5133340942964337
100% Corpus,27,0.6,0.5,0.4763545870289735
100% Corpus,27,0.6,0.7,0.5875120202222534
100% Corpus,27,0.6,0.9,0.6400956691634779
100% Corpus,27,0.6,1.5,0.5800583839158941
100% Corpus,27,0.6,auto,0.4393849005325955
100% Corpus,27,0.7,0.15,0.5183923960948056
100% Corpus,27,0.7,0.2,0.5403247092821721
100% Corpus,27,0.7,0.5,0.5571101588105791
100% Corpus,27,0.7,0.7,0.621435875578002
100% Corpus,27,0.7,0.9,0.6666605987538307
100% Corpus,27,0.7,1.5,0.5282936586056335
100% Corpus,27,0.7,auto,0.46503234779936703
